,xVal,yVal
436,37,974
437,37,976
438,37,978
439,37,1214
440,37,1215
441,37,1216
442,37,1217
443,37,1218
444,37,1219
445,38,968
446,38,970
447,38,971
448,38,973
449,38,975
450,38,976
451,38,977
452,38,1214
453,38,1215
454,38,1216
455,38,1217
456,38,1218
457,38,1219
458,39,968
459,39,970
460,39,971
461,39,972
462,39,974
463,39,975
464,39,977
465,39,1214
466,39,1215
467,39,1216
468,39,1217
469,39,1218
470,39,1219
471,40,969
472,40,970
473,40,971
474,40,972
475,40,973
476,40,974
477,40,975
478,40,978
479,40,1214
480,40,1217
481,40,1218
482,40,1219
483,41,970
484,41,972
485,41,974
486,41,975
487,41,976
488,41,979
489,41,1214
490,41,1215
491,41,1216
492,41,1219
493,41,1220
494,42,969
495,42,970
496,42,971
497,42,972
498,42,973
499,42,976
500,42,977
501,42,978
502,42,1216
503,42,1218
504,42,1219
505,42,1220
506,43,970
507,43,973
508,43,974
509,43,977
510,43,979
511,43,1215
512,43,1216
513,43,1219
514,43,1220
515,44,970
516,44,972
517,44,973
518,44,975
519,44,976
520,44,978
521,44,1215
522,44,1217
523,44,1218
524,44,1220
525,45,971
526,45,972
527,45,975
528,45,978
529,45,1215
530,45,1216
531,45,1218
532,45,1219
533,46,969
534,46,970
535,46,973
536,46,974
537,46,975
538,46,976
539,46,978
540,46,979
541,46,1217
542,46,1219
543,46,1220
544,47,969
545,47,971
546,47,972
547,47,974
548,47,975
549,47,977
550,47,979
551,47,1215
552,47,1216
553,47,1217
554,47,1218
555,47,1219
556,47,1220
557,48,969
558,48,972
559,48,976
560,48,977
561,48,1215
562,48,1216
563,48,1218
564,48,1220
565,49,970
566,49,971
567,49,973
568,49,974
569,49,978
570,49,979
571,49,1214
572,49,1216
573,49,1217
574,49,1219
575,49,1220
576,50,969
577,50,970
578,50,971
579,50,972
580,50,973
581,50,976
582,50,977
583,50,979
584,50,1217
585,50,1220
586,51,971
587,51,973
588,51,974
589,51,975
590,51,978
591,51,979
592,51,1215
593,51,1216
594,51,1218
595,51,1220
596,52,969
597,52,970
598,52,972
599,52,973
600,52,974
601,52,976
602,52,978
603,52,1216
604,52,1217
605,52,1219
606,52,1221
607,53,969
608,53,971
609,53,973
610,53,975
611,53,977
612,53,979
613,53,1215
614,53,1216
615,53,1218
616,53,1219
617,53,1221
618,54,970
619,54,972
620,54,973
621,54,974
622,54,977
623,54,978
624,54,1215
625,54,1218
626,54,1219
627,54,1221
628,55,970
629,55,971
630,55,973
631,55,975
632,55,976
633,55,977
634,55,980
635,55,1217
636,55,1219
637,55,1221
638,56,970
639,56,972
640,56,973
641,56,974
642,56,975
643,56,977
644,56,978
645,56,979
646,56,1216
647,56,1217
648,56,1218
649,56,1219
650,56,1221
651,57,970
652,57,972
653,57,973
654,57,974
655,57,975
656,57,978
657,57,980
658,57,1215
659,57,1216
660,57,1217
661,57,1218
662,57,1219
663,57,1221
664,58,970
665,58,972
666,58,973
667,58,974
668,58,975
669,58,976
670,58,979
671,58,981
672,58,1215
673,58,1216
674,58,1217
675,58,1218
676,58,1219
677,58,1221
678,59,970
679,59,972
680,59,973
681,59,974
682,59,975
683,59,976
684,59,977
685,59,978
686,59,980
687,59,1215
688,59,1216
689,59,1217
690,59,1218
691,59,1219
692,59,1221
693,60,970
694,60,972
695,60,973
696,60,974
697,60,975
698,60,976
699,60,979
700,60,980
701,60,981
702,60,1216
703,60,1217
704,60,1218
705,60,1219
706,60,1221
707,61,970
708,61,972
709,61,973
710,61,974
711,61,975
712,61,976
713,61,977
714,61,978
715,61,980
716,61,1215
717,61,1216
718,61,1217
719,61,1218
720,61,1219
721,61,1221
722,62,970
723,62,972
724,62,973
725,62,974
726,62,975
727,62,977
728,62,978
729,62,980
730,62,981
731,62,1214
732,62,1215
733,62,1216
734,62,1217
735,62,1218
736,62,1219
737,62,1221
738,63,970
739,63,972
740,63,973
741,63,974
742,63,975
743,63,976
744,63,979
745,63,980
746,63,982
747,63,1215
748,63,1216
749,63,1217
750,63,1218
751,63,1219
752,63,1221
753,64,970
754,64,971
755,64,973
756,64,974
757,64,976
758,64,977
759,64,978
760,64,979
761,64,980
762,64,981
763,64,982
764,64,1215
765,64,1216
766,64,1217
767,64,1219
768,64,1220
769,65,972
770,65,974
771,65,975
772,65,976
773,65,977
774,65,978
775,65,979
776,65,980
777,65,981
778,65,982
779,65,1218
780,65,1219
781,65,1220
782,65,1221
783,66,970
784,66,971
785,66,972
786,66,973
787,66,975
788,66,976
789,66,977
790,66,978
791,66,979
792,66,980
793,66,981
794,66,982
795,66,1215
796,66,1216
797,66,1217
798,66,1218
799,66,1219
800,66,1221
801,67,970
802,67,972
803,67,974
804,67,976
805,67,977
806,67,978
807,67,979
808,67,980
809,67,981
810,67,982
811,67,1216
812,67,1218
813,67,1220
814,68,972
815,68,973
816,68,974
817,68,975
818,68,976
819,68,977
820,68,978
821,68,979
822,68,980
823,68,981
824,68,982
825,68,1216
826,68,1217
827,68,1218
828,68,1219
829,68,1220
830,69,971
831,69,972
832,69,976
833,69,977
834,69,978
835,69,979
836,69,980
837,69,981
838,69,982
839,69,1217
840,69,1220
841,69,1221
842,69,1222
843,70,970
844,70,971
845,70,973
846,70,974
847,70,975
848,70,976
849,70,977
850,70,978
851,70,979
852,70,980
853,70,981
854,70,982
855,70,1218
856,70,1219
857,70,1220
858,71,972
859,71,973
860,71,976
861,71,977
862,71,978
863,71,979
864,71,980
865,71,981
866,71,982
867,71,1216
868,71,1219
869,71,1221
870,71,1222
871,72,971
872,72,973
873,72,974
874,72,975
875,72,976
876,72,978
877,72,979
878,72,980
879,72,1216
880,72,1217
881,72,1219
882,72,1222
883,73,972
884,73,973
885,73,977
886,73,979
887,73,980
888,73,981
889,73,1216
890,73,1217
891,73,1219
892,73,1220
893,73,1221
894,73,1222
895,74,971
896,74,972
897,74,974
898,74,975
899,74,976
900,74,978
901,74,981
902,74,1216
903,74,1218
904,74,1220
905,74,1222
906,75,970
907,75,971
908,75,973
909,75,977
910,75,978
911,75,979
912,75,980
913,75,981
914,75,1217
915,75,1220
916,75,1221
917,76,970
918,76,972
919,76,975
920,76,976
921,76,977
922,76,980
923,76,1216
924,76,1218
925,76,1219
926,76,1220
927,76,1222
928,77,971
929,77,972
930,77,974
931,77,975
932,77,977
933,77,978
934,77,979
935,77,1216
936,77,1217
937,77,1218
938,77,1219
939,77,1221
940,77,1222
941,78,972
942,78,975
943,78,976
944,78,977
945,78,978
946,78,1217
947,78,1219
948,78,1220
949,78,1221
950,79,976
951,79,978
952,79,1217
953,79,1218
954,79,1220
955,79,1221
956,79,1222
957,80,1217
958,80,1218
959,80,1219
960,80,1221
961,80,1222
962,81,1216
963,81,1219
964,81,1221
965,82,1217
966,82,1220
967,82,1222
968,83,1216
969,83,1217
970,83,1218
971,83,1219
972,83,1220
973,83,1221
974,83,1222
975,84,1217
976,84,1221
977,84,1222
978,85,1218
979,85,1219
980,85,1220
981,85,1221
982,85,1222
983,86,1217
984,86,1218
985,86,1219
986,86,1221
987,87,1218
988,87,1219
989,87,1222
990,88,1217
991,88,1219
992,88,1220
993,88,1222
994,89,1218
995,89,1220
996,89,1222
997,90,1218
998,90,1219
999,90,1221
1000,91,1217
1001,91,1218
1002,91,1219
1003,91,1220
1004,91,1221
1005,91,1222
1006,91,1223
1007,92,959
1008,92,1218
1009,92,1222
1010,92,1223
1011,93,1220
1012,93,1221
1013,94,1217
1014,94,1218
1015,94,1219
1016,94,1220
1017,94,1222
1018,94,1223
1019,95,1218
1020,95,1220
1021,95,1221
1022,95,1222
1023,95,1223
1024,96,1218
1025,96,1219
1026,96,1221
1027,96,1222
1028,97,1219
1029,97,1220
1030,97,1222
1031,97,1223
1032,98,1218
1033,98,1219
1034,98,1220
1035,98,1222
1036,98,1223
1037,99,958
1038,99,1221
1039,100,958
1040,100,959
1041,100,960
1042,100,1218
1043,100,1219
1044,100,1220
1045,100,1221
1046,100,1222
1047,100,1223
1048,101,958
1049,101,959
1050,101,978
1051,101,979
1052,101,1218
1053,101,1223
1054,102,960
1055,102,978
1056,102,1217
1057,102,1218
1058,102,1219
1059,102,1221
1060,102,1222
1061,102,1223
1062,103,959
1063,103,960
1064,103,977
1065,103,978
1066,103,980
1067,103,1217
1068,103,1220
1069,103,1222
1070,103,1223
1071,103,1224
1072,104,959
1073,104,960
1074,104,977
1075,104,978
1076,104,979
1077,104,1218
1078,104,1220
1079,104,1221
1080,104,1222
1081,105,959
1082,105,961
1083,105,980
1084,105,1220
1085,105,1223
1086,105,1224
1087,106,960
1088,106,961
1089,106,979
1090,106,980
1091,106,1218
1092,106,1219
